call_id,loan_id,call_date,outcome,agent_notes
CALL0000033,LOAN0001292,2026-09-25,Connected,Customer requested extension
CALL0000034,LOAN0003143,2026-12-20,Connected,Could not reach
CALL0000035,LOAN0000497,2025-10-13,Connected,Could not reach
CALL0000036,LOAN0001538,2025-09-09,No answer,Disputed amount
CALL0000037,LOAN0000187,2026-11-08,Connected,Will pay this week
CALL0000038,LOAN0002380,2026-04-16,Dispute raised,Could not reach
CALL0000039,LOAN0000296,2026-05-03,No answer,Income delayed
CALL0000040,LOAN0000582,2026-08-05,Connected,Income delayed
CALL0000041,LOAN0000848,2026-09-13,Connected,Customer requested extension
CALL0000042,LOAN0002862,2025-08-22,No answer,Disputed amount
CALL0000043,LOAN0001964,2025-11-22,Promise to pay,Could not reach
CALL0000044,LOAN0002534,2026-02-03,No answer,Income delayed
CALL0000045,LOAN0000722,2025-12-14,Connected,Will pay this week
CALL0000046,LOAN0000843,2025-12-23,Connected,Customer requested extension
CALL0000047,LOAN0001460,2027-02-20,No answer,Customer requested extension
CALL0000048,LOAN0001626,2026-02-09,Connected,Will pay this week
CALL0000049,LOAN0002748,2026-07-06,Dispute raised,Customer requested extension
CALL0000050,LOAN0002743,2026-07-24,No answer,Disputed amount
CALL0000051,LOAN0002826,2025-09-13,Promise to pay,Income delayed
CALL0000052,LOAN0003238,2025-09-09,Connected,Could not reach
CALL0000053,LOAN0002896,2026-07-05,No answer,Income delayed
CALL0000054,LOAN0003104,2026-07-20,Connected,Disputed amount
CALL0000055,LOAN0000982,2025-09-18,Dispute raised,Disputed amount
CALL0000056,LOAN0002986,2026-05-24,Promise to pay,Income delayed
CALL0000057,LOAN0000897,2026-06-25,Connected,Income delayed
CALL0000058,LOAN0001351,2026-06-14,No answer,Customer requested extension
CALL0000059,LOAN0001777,2026-05-17,No answer,Disputed amount
CALL0000060,LOAN0002500,2026-09-23,Promise to pay,Will pay this week
CALL0000061,LOAN0001640,2026-08-10,Connected,Could not reach
CALL0000062,LOAN0002535,2026-12-09,Connected,Will pay this week
CALL0000063,LOAN0001717,2026-02-17,No answer,Could not reach
CALL0000064,LOAN0002285,2026-08-10,Connected,Disputed amount
CALL0000065,LOAN0000341,2026-03-21,No answer,Customer requested extension
CALL0000066,LOAN0000034,2026-04-12,Connected,Will pay this week
CALL0000067,LOAN0001261,2025-12-12,Dispute raised,Customer requested extension
CALL0000068,LOAN0003132,2026-03-16,Promise to pay,Customer requested extension
CALL0000069,LOAN0000564,2026-08-08,Connected,Customer requested extension
CALL0000070,LOAN0000978,2026-08-13,No answer,Could not reach
CALL0000071,LOAN0000046,2026-05-06,Connected,Income delayed
CALL0000072,LOAN0000179,2026-04-23,Promise to pay,Could not reach
CALL0000073,LOAN0001612,2026-06-09,Wrong number,Could not reach
CALL0000074,LOAN0002743,2026-09-15,No answer,Will pay this week
CALL0000075,LOAN0000184,2026-04-14,Promise to pay,Customer requested extension
CALL0000076,LOAN0003339,2026-02-10,No answer,Customer requested extension
CALL0000077,LOAN0002494,2027-02-04,No answer,Customer requested extension
CALL0000078,LOAN0002680,2025-11-21,No answer,Customer requested extension
CALL0000079,LOAN0002788,2025-10-22,No answer,Will pay this week
CALL0000080,LOAN0001471,2026-02-02,Promise to pay,Disputed amount
CALL0000081,LOAN0003357,2026-06-13,Promise to pay,Could not reach
CALL0000082,LOAN0001589,2026-04-08,Dispute raised,Income delayed
CALL0000083,LOAN0001668,2026-03-04,No answer,Disputed amount
CALL0000084,LOAN0001785,2026-10-02,Wrong number,Customer requested extension
CALL0000085,LOAN0000791,2026-08-07,No answer,Disputed amount
CALL0000086,LOAN0001427,2026-07-10,Dispute raised,Could not reach
CALL0000087,LOAN0003121,2026-05-21,Connected,Customer requested extension
CALL0000088,LOAN0002614,2025-09-09,No answer,Disputed amount
CALL0000089,LOAN0001824,2026-08-12,Connected,Could not reach
CALL0000090,LOAN0002274,2026-08-20,No answer,Customer requested extension
CALL0000091,LOAN0002543,2026-06-09,Promise to pay,Will pay this week
CALL0000092,LOAN0002844,2025-10-14,Promise to pay,Will pay this week
CALL0000093,LOAN0000473,2026-03-23,Wrong number,Disputed amount
CALL0000094,LOAN0002808,2026-07-15,Promise to pay,Disputed amount
CALL0000095,LOAN0000219,2026-04-03,Dispute raised,Income delayed
CALL0000096,LOAN0001523,2026-12-18,Promise to pay,Could not reach
CALL0000097,LOAN0001106,2026-05-19,Connected,Disputed amount
CALL0000098,LOAN0002411,2026-08-10,Connected,Could not reach
CALL0000099,LOAN0000109,2026-05-13,No answer,Could not reach
CALL0000100,LOAN0002950,2026-04-25,Connected,Disputed amount
CALL0000101,LOAN0001268,2026-08-10,Promise to pay,Could not reach
CALL0000102,LOAN0001059,2026-01-19,Connected,Income delayed
CALL0000103,LOAN0000095,2026-03-14,Wrong number,Disputed amount
CALL0000104,LOAN0003262,2026-01-02,No answer,Could not reach
CALL0000105,LOAN0001747,2026-02-11,Promise to pay,Income delayed
CALL0000106,LOAN0001036,2025-10-09,Wrong number,Could not reach
CALL0000107,LOAN0002870,2025-12-02,No answer,Will pay this week
CALL0000108,LOAN0002431,2026-11-14,No answer,Income delayed
CALL0000109,LOAN0002738,2026-08-23,No answer,Income delayed
CALL0000110,LOAN0002119,2027-02-21,Connected,Customer requested extension
CALL0000111,LOAN0001459,2026-12-08,No answer,Customer requested extension
CALL0000112,LOAN0002928,2026-02-15,No answer,Will pay this week
CALL0000113,LOAN0001673,2026-01-20,Connected,Customer requested extension
CALL0000114,LOAN0003235,2026-07-08,Connected,Will pay this week
CALL0000115,LOAN0002497,2026-05-05,Wrong number,Disputed amount
CALL0000116,LOAN0002855,2026-02-10,Connected,Customer requested extension
CALL0000117,LOAN0002338,2026-10-06,Connected,Disputed amount
CALL0000118,LOAN0003149,2026-01-12,No answer,Could not reach
CALL0000119,LOAN0000002,2026-07-05,No answer,Disputed amount
CALL0000120,LOAN0002931,2026-12-21,Connected,Income delayed
CALL0000121,LOAN0001512,2026-06-17,No answer,Income delayed
CALL0000122,LOAN0002292,2026-06-08,Wrong number,Disputed amount
CALL0000123,LOAN0000305,2026-01-03,Promise to pay,Disputed amount
CALL0000124,LOAN0002407,2026-08-12,Promise to pay,Customer requested extension
CALL0000125,LOAN0001207,2025-12-08,Connected,Disputed amount
CALL0000126,LOAN0002456,2025-11-13,Wrong number,Will pay this week
CALL0000127,LOAN0002526,2026-08-06,Connected,Disputed amount
CALL0000128,LOAN0000707,2026-06-16,Connected,Could not reach
CALL0000129,LOAN0000742,2026-07-21,Connected,Could not reach
CALL0000130,LOAN0003418,2026-05-12,Connected,Could not reach
CALL0000131,LOAN0002118,2026-08-04,Dispute raised,Could not reach
CALL0000132,LOAN0001672,2026-09-15,Wrong number,Will pay this week
CALL0000133,LOAN0001562,2025-09-20,Connected,Disputed amount
CALL0000134,LOAN0002650,2026-05-15,Wrong number,Will pay this week
CALL0000135,LOAN0000785,2026-11-17,No answer,Will pay this week
CALL0000136,LOAN0001577,2026-04-14,Promise to pay,Disputed amount
CALL0000137,LOAN0001484,2025-10-10,Connected,Will pay this week
CALL0000138,LOAN0001838,2026-12-02,Promise to pay,Will pay this week
CALL0000139,LOAN0000465,2026-01-22,No answer,Disputed amount
CALL0000140,LOAN0002692,2026-09-18,No answer,Could not reach
CALL0000141,LOAN0003415,2026-04-17,Promise to pay,Customer requested extension
CALL0000142,LOAN0000081,2025-12-19,No answer,Income delayed
CALL0000143,LOAN0001987,2026-09-21,Connected,Customer requested extension
CALL0000144,LOAN0000649,2026-09-17,Promise to pay,Disputed amount
CALL0000145,LOAN0000388,2026-05-20,Connected,Disputed amount
CALL0000146,LOAN0002727,2026-02-05,Promise to pay,Will pay this week
CALL0000147,LOAN0001415,2026-02-13,Connected,Income delayed
CALL0000148,LOAN0000869,2026-06-04,Promise to pay,Disputed amount
CALL0000149,LOAN0002766,2026-04-20,Connected,Disputed amount
CALL0000150,LOAN0000642,2026-08-07,No answer,Disputed amount
CALL0000151,LOAN0002942,2026-05-23,No answer,Could not reach
CALL0000152,LOAN0000881,2026-01-16,Dispute raised,Customer requested extension
CALL0000153,LOAN0001572,2026-09-21,Connected,Customer requested extension
CALL0000154,LOAN0000902,2026-11-16,Connected,Disputed amount
CALL0000155,LOAN0002575,2026-06-15,Dispute raised,Could not reach
CALL0000156,LOAN0000611,2025-12-05,Connected,Will pay this week
CALL0000157,LOAN0002727,2025-11-25,No answer,Will pay this week
CALL0000158,LOAN0003351,2026-09-14,Connected,Customer requested extension
CALL0000159,LOAN0000274,2025-10-25,Dispute raised,Will pay this week
CALL0000160,LOAN0002480,2026-11-06,No answer,Income delayed
CALL0000161,LOAN0002668,2026-07-17,No answer,Income delayed
CALL0000162,LOAN0001207,2025-11-09,Dispute raised,Could not reach
CALL0000163,LOAN0002985,2026-08-23,No answer,Income delayed
CALL0000164,LOAN0000410,2026-11-02,Promise to pay,Will pay this week
CALL0000165,LOAN0000898,2026-06-16,Promise to pay,Customer requested extension
CALL0000166,LOAN0001150,2026-02-02,Promise to pay,Disputed amount
CALL0000167,LOAN0000452,2026-05-24,Connected,Will pay this week
CALL0000168,LOAN0002438,2026-11-05,Connected,Customer requested extension
CALL0000169,LOAN0001055,2025-09-20,Connected,Could not reach
CALL0000170,LOAN0001290,2026-04-18,Connected,Disputed amount
CALL0000171,LOAN0001992,2026-05-18,Wrong number,Will pay this week
CALL0000172,LOAN0003186,2025-12-22,No answer,Will pay this week
CALL0000173,LOAN0002874,2027-02-08,No answer,Will pay this week
CALL0000174,LOAN0003317,2026-11-15,Connected,Income delayed
CALL0000175,LOAN0002622,2026-11-06,Wrong number,Will pay this week
CALL0000176,LOAN0001448,2026-09-14,Dispute raised,Customer requested extension
CALL0000177,LOAN0001794,2026-09-02,Connected,Customer requested extension
CALL0000178,LOAN0002461,2026-08-11,Promise to pay,Income delayed
CALL0000179,LOAN0000858,2025-11-21,Promise to pay,Will pay this week
CALL0000180,LOAN0003131,2026-01-16,Connected,Income delayed
CALL0000181,LOAN0001561,2026-05-03,Dispute raised,Income delayed
CALL0000182,LOAN0001002,2026-07-02,Connected,Disputed amount
CALL0000183,LOAN0000663,2026-05-17,No answer,Income delayed
CALL0000184,LOAN0001577,2026-03-24,Connected,Income delayed
CALL0000185,LOAN0002672,2026-08-22,Promise to pay,Customer requested extension
CALL0000186,LOAN0001850,2026-10-03,Connected,Disputed amount
CALL0000187,LOAN0002934,2026-04-06,No answer,Income delayed
CALL0000188,LOAN0001378,2026-04-19,Dispute raised,Disputed amount
CALL0000189,LOAN0001807,2026-04-11,Promise to pay,Income delayed
CALL0000190,LOAN0002330,2025-12-21,No answer,Income delayed
CALL0000191,LOAN0001924,2026-08-19,Connected,Income delayed
CALL0000192,LOAN0001584,2026-06-07,No answer,Could not reach
CALL0000193,LOAN0000396,2026-06-08,Dispute raised,Income delayed
CALL0000194,LOAN0002467,2026-06-07,Wrong number,Income delayed
CALL0000195,LOAN0003056,2026-05-09,Dispute raised,Could not reach
CALL0000196,LOAN0001288,2026-06-14,No answer,Customer requested extension
CALL0000197,LOAN0000797,2026-05-13,Connected,Could not reach
CALL0000198,LOAN0002512,2026-06-14,Dispute raised,Customer requested extension
CALL0000199,LOAN0001580,2026-09-25,Dispute raised,Will pay this week
CALL0000200,LOAN0002605,2025-10-03,Connected,Will pay this week
CALL0000201,LOAN0002731,2026-09-16,Promise to pay,Income delayed
CALL0000202,LOAN0001169,2025-11-16,Connected,Will pay this week
CALL0000203,LOAN0003005,2026-06-14,Connected,Income delayed
CALL0000204,LOAN0000447,2026-02-14,Connected,Could not reach
CALL0000205,LOAN0001732,2026-06-14,Promise to pay,Disputed amount
CALL0000206,LOAN0001018,2026-09-21,Wrong number,Will pay this week
CALL0000207,LOAN0000374,2025-12-13,Connected,Disputed amount
CALL0000208,LOAN0002818,2025-08-24,No answer,Disputed amount
CALL0000209,LOAN0002609,2026-05-21,Connected,Will pay this week
CALL0000210,LOAN0000572,2026-04-14,No answer,Will pay this week
CALL0000211,LOAN0002110,2027-02-08,No answer,Could not reach
CALL0000212,LOAN0002013,2026-05-15,No answer,Will pay this week
CALL0000213,LOAN0002274,2026-06-05,Promise to pay,Customer requested extension
CALL0000214,LOAN0000380,2025-12-19,Connected,Will pay this week
CALL0000215,LOAN0002586,2026-01-04,Dispute raised,Disputed amount
CALL0000216,LOAN0003222,2026-06-07,Dispute raised,Disputed amount
CALL0000217,LOAN0002936,2026-03-06,Promise to pay,Could not reach
CALL0000218,LOAN0003168,2026-08-19,Connected,Could not reach
CALL0000219,LOAN0002816,2026-09-09,Promise to pay,Could not reach
CALL0000220,LOAN0001431,2026-06-24,Promise to pay,Will pay this week
CALL0000221,LOAN0001839,2026-01-23,No answer,Will pay this week
CALL0000222,LOAN0001608,2026-03-03,No answer,Could not reach
CALL0000223,LOAN0002915,2026-03-15,No answer,Disputed amount
CALL0000224,LOAN0001382,2026-02-15,Promise to pay,Income delayed
CALL0000225,LOAN0000875,2026-09-25,Promise to pay,Disputed amount
CALL0000226,LOAN0000544,2026-04-03,Promise to pay,Customer requested extension
CALL0000227,LOAN0000551,2026-04-09,Connected,Will pay this week
CALL0000228,LOAN0001757,2026-05-07,Promise to pay,Will pay this week
CALL0000229,LOAN0002589,2026-04-25,No answer,Income delayed
CALL0000230,LOAN0002188,2025-11-18,Promise to pay,Disputed amount
CALL0000231,LOAN0001162,2025-11-05,Connected,Could not reach
CALL0000232,LOAN0000691,2026-11-22,Connected,Income delayed
CALL0000233,LOAN0001502,2026-10-24,No answer,Customer requested extension
CALL0000234,LOAN0002284,2026-12-16,Promise to pay,Income delayed
CALL0000235,LOAN0001621,2026-03-20,Connected,Income delayed
CALL0000236,LOAN0002443,2026-11-13,No answer,Disputed amount
CALL0000237,LOAN0000303,2026-08-03,Connected,Customer requested extension
CALL0000238,LOAN0000079,2026-09-15,Wrong number,Customer requested extension
CALL0000239,LOAN0000221,2026-08-02,Promise to pay,Could not reach
CALL0000240,LOAN0001242,2026-09-08,Connected,Customer requested extension
CALL0000241,LOAN0003296,2026-12-25,No answer,Disputed amount
CALL0000242,LOAN0000290,2026-02-25,Connected,Could not reach
CALL0000243,LOAN0003175,2025-12-10,Connected,Income delayed
CALL0000244,LOAN0001878,2026-08-06,No answer,Could not reach
CALL0000245,LOAN0000087,2026-12-23,No answer,Disputed amount
CALL0000246,LOAN0000906,2025-11-19,Connected,Could not reach
CALL0000247,LOAN0001814,2026-02-23,Connected,Disputed amount
CALL0000248,LOAN0002460,2026-06-22,Promise to pay,Could not reach
CALL0000249,LOAN0000747,2026-06-02,Promise to pay,Disputed amount
CALL0000250,LOAN0002199,2026-12-13,No answer,Could not reach
CALL0000251,LOAN0002668,2026-08-24,Connected,Customer requested extension
CALL0000252,LOAN0002040,2026-09-18,Promise to pay,Could not reach
CALL0000253,LOAN0000879,2026-06-23,Connected,Could not reach
CALL0000254,LOAN0003245,2026-06-14,No answer,Disputed amount
CALL0000255,LOAN0002760,2026-04-19,Connected,Disputed amount
CALL0000256,LOAN0000276,2026-05-17,No answer,Income delayed
CALL0000257,LOAN0002487,2025-09-23,No answer,Disputed amount
CALL0000258,LOAN0001297,2027-01-20,Connected,Could not reach
CALL0000259,LOAN0002103,2026-04-23,Connected,Income delayed
CALL0000260,LOAN0000968,2026-06-17,Promise to pay,Disputed amount
CALL0000261,LOAN0002351,2026-03-11,Promise to pay,Will pay this week
CALL0000262,LOAN0000420,2026-08-06,Connected,Disputed amount
CALL0000263,LOAN0003191,2026-07-25,Promise to pay,Could not reach
CALL0000264,LOAN0003348,2026-02-10,No answer,Disputed amount
CALL0000265,LOAN0002386,2026-12-24,Connected,Income delayed
CALL0000266,LOAN0001614,2026-03-06,Promise to pay,Income delayed
CALL0000267,LOAN0002202,2026-02-02,Dispute raised,Customer requested extension
CALL0000268,LOAN0000146,2026-12-18,Promise to pay,Will pay this week
CALL0000269,LOAN0000297,2026-04-21,Wrong number,Could not reach
CALL0000270,LOAN0001146,2026-03-19,Wrong number,Customer requested extension
CALL0000271,LOAN0002184,2027-02-04,No answer,Will pay this week
CALL0000272,LOAN0001625,2026-07-02,No answer,Customer requested extension
CALL0000273,LOAN0002232,2026-10-17,No answer,Could not reach
CALL0000274,LOAN0002940,2026-08-20,No answer,Could not reach
CALL0000275,LOAN0000107,2026-07-13,Connected,Customer requested extension
CALL0000276,LOAN0000362,2026-02-24,Connected,Customer requested extension
CALL0000277,LOAN0000377,2026-02-24,No answer,Customer requested extension
CALL0000278,LOAN0002742,2026-04-14,Dispute raised,Could not reach
CALL0000279,LOAN0001467,2026-08-06,No answer,Could not reach
CALL0000280,LOAN0002486,2025-08-02,Promise to pay,Will pay this week
CALL0000281,LOAN0000387,2026-03-23,Connected,Customer requested extension
CALL0000282,LOAN0000602,2025-12-02,Dispute raised,Will pay this week
CALL0000283,LOAN0002469,2026-01-08,Wrong number,Will pay this week
CALL0000284,LOAN0002728,2026-02-24,Connected,Will pay this week
CALL0000285,LOAN0001799,2026-08-16,Promise to pay,Disputed amount
CALL0000286,LOAN0001712,2026-03-15,Connected,Will pay this week
CALL0000287,LOAN0000572,2025-12-08,Promise to pay,Income delayed
CALL0000288,LOAN0002705,2026-12-22,Connected,Disputed amount
CALL0000289,LOAN0000962,2025-12-17,Connected,Will pay this week
CALL0000290,LOAN0002672,2026-09-07,Promise to pay,Disputed amount
CALL0000291,LOAN0000358,2026-01-18,No answer,Disputed amount
CALL0000292,LOAN0001804,2026-06-13,No answer,Could not reach
CALL0000293,LOAN0001230,2026-06-07,No answer,Could not reach
CALL0000294,LOAN0002614,2025-08-25,Dispute raised,Customer requested extension
CALL0000295,LOAN0001884,2026-07-21,Promise to pay,Disputed amount
CALL0000296,LOAN0000813,2026-01-04,Connected,Could not reach
CALL0000297,LOAN0001206,2027-02-14,Connected,Will pay this week
CALL0000298,LOAN0000631,2026-05-24,Connected,Disputed amount
CALL0000299,LOAN0001429,2026-11-09,Dispute raised,Disputed amount
CALL0000300,LOAN0002559,2026-12-21,Connected,Customer requested extension
CALL0000301,LOAN0001377,2026-10-22,Connected,Income delayed
CALL0000302,LOAN0002739,2026-02-02,No answer,Will pay this week
CALL0000303,LOAN0002842,2026-05-12,Wrong number,Income delayed
CALL0000304,LOAN0001650,2026-03-10,No answer,Will pay this week
CALL0000305,LOAN0000728,2025-10-11,Connected,Customer requested extension
CALL0000306,LOAN0003068,2026-07-03,Connected,Will pay this week
CALL0000307,LOAN0002871,2026-03-17,No answer,Will pay this week
CALL0000308,LOAN0002083,2025-09-25,Promise to pay,Customer requested extension
CALL0000309,LOAN0002734,2025-09-06,Wrong number,Income delayed
CALL0000310,LOAN0000124,2026-08-14,No answer,Will pay this week
CALL0000311,LOAN0001910,2026-01-10,Promise to pay,Could not reach
CALL0000312,LOAN0002322,2026-06-21,Dispute raised,Could not reach
CALL0000313,LOAN0000642,2026-10-10,Dispute raised,Income delayed
CALL0000314,LOAN0000518,2026-04-08,Connected,Will pay this week
CALL0000315,LOAN0003359,2025-11-21,Connected,Will pay this week
CALL0000316,LOAN0002035,2025-09-25,No answer,Income delayed
CALL0000317,LOAN0002011,2026-02-20,Connected,Could not reach
CALL0000318,LOAN0002752,2026-03-05,No answer,Disputed amount
CALL0000319,LOAN0001068,2026-08-15,Connected,Could not reach
CALL0000320,LOAN0003119,2026-07-17,Promise to pay,Income delayed
CALL0000321,LOAN0001882,2026-12-09,Promise to pay,Customer requested extension
CALL0000322,LOAN0001111,2026-05-22,Connected,Income delayed
CALL0000323,LOAN0001727,2025-09-09,No answer,Could not reach
CALL0000324,LOAN0000110,2026-04-05,No answer,Income delayed
CALL0000325,LOAN0001252,2026-05-05,Connected,Customer requested extension
CALL0000326,LOAN0000922,2026-04-10,Promise to pay,Income delayed
CALL0000327,LOAN0000123,2026-01-13,No answer,Customer requested extension
CALL0000328,LOAN0000851,2025-12-17,No answer,Could not reach
CALL0000329,LOAN0000676,2026-12-02,Connected,Disputed amount
CALL0000330,LOAN0000401,2026-07-23,Promise to pay,Disputed amount
CALL0000331,LOAN0003221,2026-12-10,No answer,Disputed amount
CALL0000332,LOAN0002267,2026-10-04,Dispute raised,Could not reach
CALL0000333,LOAN0002613,2026-09-08,No answer,Income delayed
CALL0000334,LOAN0003385,2026-04-05,Promise to pay,Disputed amount
CALL0000335,LOAN0002447,2026-06-06,Connected,Could not reach
CALL0000336,LOAN0002870,2026-02-02,No answer,Income delayed
CALL0000337,LOAN0000269,2026-07-10,Connected,Income delayed
CALL0000338,LOAN0001035,2026-12-24,No answer,Income delayed
CALL0000339,LOAN0002833,2026-04-06,Wrong number,Customer requested extension
CALL0000340,LOAN0001960,2026-05-07,Connected,Disputed amount
CALL0000341,LOAN0003058,2026-09-02,No answer,Could not reach
CALL0000342,LOAN0001989,2026-04-23,No answer,Customer requested extension
CALL0000343,LOAN0003235,2026-02-04,Connected,Income delayed
CALL0000344,LOAN0002667,2025-08-13,Connected,Income delayed
CALL0000345,LOAN0002195,2026-05-17,No answer,Could not reach
CALL0000346,LOAN0002758,2026-12-13,Connected,Customer requested extension
CALL0000347,LOAN0001983,2026-03-17,No answer,Disputed amount
CALL0000348,LOAN0003107,2026-07-23,Promise to pay,Disputed amount
CALL0000349,LOAN0002983,2027-01-19,Connected,Could not reach
CALL0000350,LOAN0001595,2025-11-18,Promise to pay,Income delayed
CALL0000351,LOAN0000894,2026-07-12,No answer,Disputed amount
CALL0000352,LOAN0003295,2026-10-05,Dispute raised,Could not reach
CALL0000353,LOAN0001053,2026-05-20,Connected,Income delayed
CALL0000354,LOAN0000519,2027-01-02,Connected,Will pay this week
CALL0000355,LOAN0000268,2026-07-12,Dispute raised,Could not reach
CALL0000356,LOAN0000141,2026-05-11,Promise to pay,Customer requested extension
CALL0000357,LOAN0001625,2026-05-09,No answer,Could not reach
CALL0000358,LOAN0002613,2026-07-22,Connected,Income delayed
CALL0000359,LOAN0003248,2025-11-20,No answer,Will pay this week
CALL0000360,LOAN0003162,2026-05-15,No answer,Will pay this week
CALL0000361,LOAN0002899,2026-02-13,Connected,Could not reach
CALL0000362,LOAN0002381,2026-03-24,No answer,Disputed amount
CALL0000363,LOAN0002635,2026-11-22,Connected,Customer requested extension
CALL0000364,LOAN0001502,2026-08-04,Connected,Income delayed
CALL0000365,LOAN0001026,2026-05-07,Wrong number,Will pay this week
CALL0000366,LOAN0000997,2026-01-05,No answer,Income delayed
CALL0000367,LOAN0002101,2026-06-19,No answer,Customer requested extension
CALL0000368,LOAN0001576,2026-10-24,Promise to pay,Will pay this week
CALL0000369,LOAN0000184,2025-11-20,No answer,Disputed amount
CALL0000370,LOAN0000474,2026-12-24,No answer,Could not reach
CALL0000371,LOAN0000476,2025-12-21,No answer,Will pay this week
CALL0000372,LOAN0003309,2026-05-24,No answer,Customer requested extension
CALL0000373,LOAN0000909,2026-11-21,Connected,Could not reach
CALL0000374,LOAN0002326,2026-04-19,No answer,Could not reach
CALL0000375,LOAN0001016,2026-08-05,Connected,Income delayed
CALL0000376,LOAN0000686,2026-08-11,Promise to pay,Customer requested extension
CALL0000377,LOAN0002742,2025-12-07,Connected,Disputed amount
CALL0000378,LOAN0001962,2026-10-03,No answer,Customer requested extension
CALL0000379,LOAN0002583,2025-10-25,Wrong number,Customer requested extension
CALL0000380,LOAN0002420,2026-11-23,No answer,Could not reach
CALL0000381,LOAN0000422,2026-06-09,No answer,Income delayed
CALL0000382,LOAN0001720,2025-12-08,Dispute raised,Disputed amount
CALL0000383,LOAN0003227,2026-10-23,No answer,Customer requested extension
CALL0000384,LOAN0003283,2026-01-16,Connected,Customer requested extension
CALL0000385,LOAN0001431,2026-02-20,Promise to pay,Will pay this week
CALL0000386,LOAN0002353,2026-12-05,Connected,Could not reach
CALL0000387,LOAN0001086,2026-06-08,No answer,Will pay this week
CALL0000388,LOAN0001933,2025-11-05,Connected,Disputed amount
CALL0000389,LOAN0000573,2026-05-09,Connected,Could not reach
CALL0000390,LOAN0001292,2026-12-02,Connected,Customer requested extension
CALL0000391,LOAN0001459,2026-08-13,Wrong number,Could not reach
CALL0000392,LOAN0002118,2026-11-05,Wrong number,Will pay this week
CALL0000393,LOAN0001239,2026-08-05,Connected,Disputed amount
CALL0000394,LOAN0002449,2026-02-11,Connected,Disputed amount
CALL0000395,LOAN0000588,2026-04-19,Connected,Disputed amount
CALL0000396,LOAN0002431,2026-09-03,Promise to pay,Could not reach
CALL0000397,LOAN0002270,2026-08-09,Promise to pay,Disputed amount
CALL0000398,LOAN0002325,2025-10-09,No answer,Will pay this week
CALL0000399,LOAN0002834,2026-06-04,Connected,Customer requested extension
CALL0000400,LOAN0002723,2025-09-25,Connected,Could not reach
CALL0000401,LOAN0001556,2026-04-21,No answer,Customer requested extension
CALL0000402,LOAN0001358,2026-10-15,Connected,Could not reach
CALL0000403,LOAN0002480,2026-09-03,No answer,Income delayed
CALL0000404,LOAN0001393,2026-04-04,Promise to pay,Disputed amount
CALL0000405,LOAN0000026,2025-09-14,Connected,Could not reach
CALL0000406,LOAN0002668,2026-11-25,Dispute raised,Income delayed
CALL0000407,LOAN0000047,2026-05-16,No answer,Could not reach
CALL0000408,LOAN0000996,2026-05-13,Dispute raised,Could not reach
CALL0000409,LOAN0000558,2026-02-09,Connected,Income delayed
CALL0000410,LOAN0000176,2025-12-07,No answer,Customer requested extension
CALL0000411,LOAN0000108,2026-10-22,Connected,Disputed amount
CALL0000412,LOAN0000129,2026-07-21,Connected,Disputed amount
CALL0000413,LOAN0001399,2026-08-14,Connected,Will pay this week
