app_id,customer_id,application_date,product,requested_amount,tenure_months,channel,approval_status,rejection_reason,approved_amount,interest_rate,risk_score
APP0000026,CUST001487,2026-06-18,Personal Loan,87000,36,Partner,Approved,,65000,17.11,252.5
APP0000027,CUST000773,2026-04-12,Merchant Loan,287000,24,App,Rejected,Policy score cutoff,0,0.0,360.4
APP0000028,CUST001162,2025-08-15,Personal Loan,124000,18,App,Rejected,Affordability policy,0,0.0,244.2
APP0000029,CUST001220,2025-11-09,Personal Loan,156000,6,App,Rejected,Affordability policy,0,0.0,330.0
APP0000030,CUST000945,2026-03-03,Personal Loan,50000,36,Branch,Approved,,38000,16.38,229.3
APP0000031,CUST000258,2025-09-20,Merchant Loan,154000,12,Referral,Rejected,Policy score cutoff,0,0.0,369.0
APP0000032,CUST001729,2026-05-10,Merchant Loan,170000,24,Partner,Approved,,155000,16.5,205.6
APP0000033,CUST002449,2026-06-18,Personal Loan,85000,18,Partner,Rejected,Policy score cutoff,0,0.0,439.2
APP0000034,CUST001952,2026-04-06,Two Wheeler Loan,84000,24,App,Rejected,Policy score cutoff,0,0.0,330.4
APP0000035,CUST001374,2026-04-13,Personal Loan,207000,6,Referral,Approved,,171000,17.71,165.7
APP0000036,CUST000765,2025-07-04,Merchant Loan,198000,18,Referral,Approved,,187000,16.15,197.3
APP0000037,CUST001608,2026-03-06,Two Wheeler Loan,108000,24,Partner,Rejected,Recent delinquency,0,0.0,416.8
APP0000038,CUST002328,2026-02-24,Personal Loan,180000,12,App,Rejected,Low bureau score,0,0.0,495.8
APP0000039,CUST001473,2026-05-05,Personal Loan,68000,24,Partner,Rejected,Policy score cutoff,0,0.0,416.6
APP0000040,CUST001342,2026-05-07,Personal Loan,195000,6,App,Rejected,Affordability policy,0,0.0,280.1
APP0000041,CUST001416,2026-01-21,Two Wheeler Loan,123000,6,Referral,Rejected,Affordability policy,0,0.0,179.1
APP0000042,CUST001176,2026-03-10,Two Wheeler Loan,67000,24,App,Approved,,55000,20.29,265.6
APP0000043,CUST000093,2026-01-22,Two Wheeler Loan,83000,24,Branch,Rejected,Recent delinquency,0,0.0,310.0
APP0000044,CUST000760,2026-01-12,Two Wheeler Loan,71000,12,Partner,Rejected,Affordability policy,0,0.0,302.9
APP0000045,CUST001249,2026-06-24,Personal Loan,106000,12,Partner,Approved,,83000,17.79,260.2
APP0000046,CUST001686,2025-08-16,Consumer Durable Loan,61000,18,Partner,Approved,,47000,15.18,58.4
APP0000047,CUST002405,2025-10-18,Personal Loan,113000,9,Referral,Rejected,Affordability policy,0,0.0,313.2
APP0000048,CUST000932,2026-05-21,Personal Loan,130000,24,Referral,Rejected,Policy score cutoff,0,0.0,366.2
APP0000049,CUST001244,2026-03-01,Personal Loan,152000,6,Partner,Approved,,150000,16.91,184.4
APP0000050,CUST000482,2026-04-20,Personal Loan,185000,18,Partner,Approved,,148000,17.88,189.1
APP0000051,CUST001044,2026-05-09,Merchant Loan,69000,12,App,Approved,,66000,16.88,265.2
APP0000052,CUST000788,2026-01-25,Personal Loan,128000,6,Branch,Approved,,108000,18.96,281.4
APP0000053,CUST000034,2025-08-08,Consumer Durable Loan,90000,18,App,Approved,,71000,15.63,199.9
APP0000054,CUST001311,2026-03-20,Personal Loan,67000,12,App,Rejected,Affordability policy,0,0.0,203.9
APP0000055,CUST001866,2026-05-11,Personal Loan,31000,6,App,Approved,,27000,20.08,275.7
APP0000056,CUST000990,2025-08-18,Two Wheeler Loan,93000,18,App,Approved,,88000,20.0,266.2
APP0000057,CUST002002,2026-06-10,Two Wheeler Loan,46000,24,Partner,Rejected,Low bureau score,0,0.0,502.1
APP0000058,CUST001920,2025-12-20,Personal Loan,113000,36,Branch,Approved,,92000,14.16,154.6
APP0000059,CUST001440,2026-04-09,Merchant Loan,226000,12,Branch,Approved,,221000,16.19,202.3
APP0000060,CUST001155,2026-06-10,Merchant Loan,185000,12,Referral,Rejected,Policy score cutoff,0,0.0,380.8
APP0000061,CUST001108,2026-03-23,Personal Loan,100000,24,Branch,Approved,,82000,14.92,179.8
APP0000062,CUST000403,2025-09-16,Personal Loan,122000,9,Referral,Approved,,102000,18.98,272.8
APP0000063,CUST002070,2025-09-13,Personal Loan,132000,36,App,Rejected,Affordability policy,0,0.0,303.8
APP0000064,CUST001656,2026-03-25,Personal Loan,114000,12,App,Rejected,Low bureau score,0,0.0,472.0
APP0000065,CUST002252,2025-08-18,Personal Loan,81000,24,Partner,Rejected,Affordability policy,0,0.0,263.7
APP0000066,CUST001979,2025-11-05,Consumer Durable Loan,15000,36,Partner,Rejected,Policy score cutoff,0,0.0,353.5
APP0000067,CUST000048,2026-04-12,Personal Loan,20000,12,Partner,Approved,,18000,19.69,277.0
APP0000068,CUST000785,2025-08-04,Two Wheeler Loan,44000,12,App,Rejected,Affordability policy,0,0.0,267.6
APP0000069,CUST000350,2026-05-02,Two Wheeler Loan,60000,12,Branch,Rejected,Affordability policy,0,0.0,251.6
APP0000070,CUST002156,2026-05-18,Consumer Durable Loan,51000,9,App,Approved,,49000,16.93,179.6
APP0000071,CUST000394,2026-03-26,Merchant Loan,131000,18,Branch,Rejected,Low bureau score,0,0.0,441.9
APP0000072,CUST000845,2026-04-24,Merchant Loan,161000,18,Branch,Approved,,157000,19.4,329.6
APP0000073,CUST001860,2025-09-25,Consumer Durable Loan,89000,24,App,Approved,,86000,14.22,112.1
APP0000074,CUST000623,2026-01-19,Consumer Durable Loan,89000,24,Partner,Approved,,89000,17.59,233.5
APP0000075,CUST000655,2025-09-05,Consumer Durable Loan,84000,36,App,Rejected,Affordability policy,0,0.0,310.4
APP0000076,CUST000637,2026-03-10,Consumer Durable Loan,91000,12,App,Rejected,Low bureau score,0,0.0,489.1
APP0000077,CUST000277,2026-06-13,Personal Loan,152000,12,Partner,Approved,,145000,18.34,239.7
APP0000078,CUST000310,2026-05-09,Personal Loan,161000,6,App,Rejected,Affordability policy,0,0.0,261.2
APP0000079,CUST002045,2025-11-03,Personal Loan,101000,18,Partner,Rejected,Policy score cutoff,0,0.0,444.8
APP0000080,CUST001936,2026-01-27,Personal Loan,193000,18,Referral,Rejected,Low bureau score,0,0.0,473.8
APP0000081,CUST000828,2026-03-13,Merchant Loan,210000,9,App,Rejected,Low bureau score,0,0.0,535.2
APP0000082,CUST002084,2025-08-18,Consumer Durable Loan,79000,9,Branch,Rejected,Policy score cutoff,0,0.0,421.8
APP0000083,CUST001841,2025-10-18,Consumer Durable Loan,86000,12,App,Rejected,Policy score cutoff,0,0.0,330.4
APP0000084,CUST002309,2026-04-10,Personal Loan,43000,18,App,Approved,,39000,18.88,276.8
APP0000085,CUST001836,2026-03-03,Two Wheeler Loan,20000,12,App,Rejected,Affordability policy,0,0.0,259.3
APP0000086,CUST001499,2026-04-03,Personal Loan,193000,18,Branch,Rejected,Policy score cutoff,0,0.0,362.2
APP0000087,CUST001787,2026-04-21,Personal Loan,152000,18,App,Rejected,Affordability policy,0,0.0,306.1
APP0000088,CUST000974,2026-04-20,Two Wheeler Loan,60000,18,App,Approved,,46000,17.76,186.3
APP0000089,CUST002483,2026-02-24,Personal Loan,54000,6,App,Rejected,Policy score cutoff,0,0.0,385.7
APP0000090,CUST000040,2025-10-06,Two Wheeler Loan,75000,24,App,Approved,,75000,19.51,338.2
APP0000091,CUST001156,2026-02-05,Personal Loan,124000,12,Branch,Rejected,Policy score cutoff,0,0.0,355.5
APP0000092,CUST001933,2025-10-08,Two Wheeler Loan,60000,12,Branch,Approved,,49000,17.31,188.6
APP0000093,CUST000461,2026-01-27,Two Wheeler Loan,10000,36,Referral,Rejected,Affordability policy,0,0.0,247.6
APP0000094,CUST000567,2025-11-22,Two Wheeler Loan,10000,12,Partner,Rejected,Low bureau score,0,0.0,490.7
APP0000095,CUST000679,2025-10-18,Personal Loan,178000,36,Referral,Approved,,134000,16.49,132.1
APP0000096,CUST000374,2026-03-15,Consumer Durable Loan,59000,9,Partner,Rejected,Affordability policy,0,0.0,319.7
APP0000097,CUST000045,2026-02-27,Consumer Durable Loan,50000,6,Partner,Approved,,42000,17.01,244.1
APP0000098,CUST000648,2025-07-15,Personal Loan,202000,36,App,Approved,,170000,17.69,302.8
APP0000099,CUST002027,2025-07-10,Personal Loan,128000,12,Referral,Rejected,Low bureau score,0,0.0,549.0
APP0000100,CUST000496,2025-11-20,Personal Loan,145000,18,Referral,Approved,,127000,18.15,224.0
APP0000101,CUST000198,2025-10-24,Two Wheeler Loan,36000,12,App,Rejected,Affordability policy,0,0.0,328.0
APP0000102,CUST002149,2025-12-26,Personal Loan,117000,12,App,Rejected,Affordability policy,0,0.0,271.5
APP0000103,CUST001002,2026-01-15,Personal Loan,147000,18,App,Approved,,119000,15.25,210.4
APP0000104,CUST000170,2026-02-07,Consumer Durable Loan,16000,18,App,Approved,,15000,17.91,297.4
APP0000105,CUST000030,2026-06-23,Consumer Durable Loan,20000,12,App,Rejected,Policy score cutoff,0,0.0,406.6
APP0000106,CUST002331,2025-12-04,Consumer Durable Loan,93000,12,Partner,Approved,,77000,18.78,276.9
APP0000107,CUST001857,2025-12-10,Personal Loan,114000,24,App,Approved,,89000,20.3,319.6
APP0000108,CUST002239,2026-06-26,Consumer Durable Loan,72000,24,App,Approved,,57000,17.56,248.5
APP0000109,CUST000727,2026-03-27,Consumer Durable Loan,59000,12,Partner,Approved,,54000,15.64,204.1
APP0000110,CUST001763,2025-09-24,Two Wheeler Loan,62000,24,Partner,Rejected,Recent delinquency,0,0.0,350.9
APP0000111,CUST000647,2026-06-11,Merchant Loan,167000,24,Partner,Rejected,Affordability policy,0,0.0,268.3
APP0000112,CUST001955,2026-06-16,Personal Loan,193000,12,App,Rejected,Policy score cutoff,0,0.0,380.8
APP0000113,CUST000444,2025-07-18,Personal Loan,57000,9,App,Approved,,44000,17.96,242.9
APP0000114,CUST000107,2026-02-24,Two Wheeler Loan,101000,18,App,Approved,,80000,16.84,201.6
APP0000115,CUST001909,2026-01-15,Merchant Loan,261000,18,App,Rejected,Affordability policy,0,0.0,321.5
APP0000116,CUST001374,2026-04-09,Two Wheeler Loan,74000,9,App,Approved,,72000,16.83,192.5
APP0000117,CUST000487,2026-06-02,Consumer Durable Loan,79000,24,Branch,Rejected,Affordability policy,0,0.0,329.0
APP0000118,CUST001259,2026-01-01,Personal Loan,126000,18,App,Rejected,Affordability policy,0,0.0,264.2
APP0000119,CUST000050,2026-04-11,Personal Loan,19000,24,App,Approved,,14000,15.78,112.1
APP0000120,CUST001463,2025-08-11,Personal Loan,40000,24,Partner,Approved,,30000,18.07,259.7
APP0000121,CUST001357,2026-04-09,Personal Loan,193000,24,App,Approved,,185000,12.95,117.2
APP0000122,CUST001642,2026-05-22,Personal Loan,176000,6,Referral,Approved,,164000,17.03,187.7
APP0000123,CUST001001,2026-04-16,Personal Loan,125000,18,App,Rejected,Recent delinquency,0,0.0,376.4
APP0000124,CUST000989,2025-11-02,Consumer Durable Loan,111000,12,Branch,Rejected,Recent delinquency,0,0.0,345.4
APP0000125,CUST000183,2026-06-10,Two Wheeler Loan,80000,6,App,Approved,,63000,21.1,300.8
APP0000126,CUST001712,2026-01-06,Personal Loan,124000,36,Partner,Rejected,Low bureau score,0,0.0,486.9
APP0000127,CUST002470,2026-03-02,Personal Loan,146000,12,App,Approved,,144000,18.76,281.5
APP0000128,CUST001686,2026-06-08,Personal Loan,141000,12,Referral,Approved,,117000,14.44,71.6
APP0000129,CUST000234,2025-07-11,Personal Loan,199000,36,App,Rejected,Policy score cutoff,0,0.0,354.5
APP0000130,CUST002380,2026-04-15,Personal Loan,258000,18,Referral,Rejected,Policy score cutoff,0,0.0,466.3
APP0000131,CUST002274,2025-12-04,Personal Loan,154000,24,App,Approved,,135000,15.72,178.6
APP0000132,CUST000470,2026-03-17,Two Wheeler Loan,75000,24,App,Rejected,Low bureau score,0,0.0,618.2
APP0000133,CUST000086,2025-12-22,Personal Loan,87000,12,App,Approved,,83000,17.22,246.0
APP0000134,CUST001695,2026-01-16,Personal Loan,149000,12,Partner,Approved,,142000,18.01,253.3
APP0000135,CUST001849,2026-04-17,Two Wheeler Loan,48000,6,App,Rejected,Affordability policy,0,0.0,304.0
APP0000136,CUST001844,2025-07-12,Personal Loan,150000,12,Partner,Rejected,Affordability policy,0,0.0,292.8
APP0000137,CUST002296,2025-08-09,Personal Loan,38000,12,Referral,Rejected,Affordability policy,0,0.0,281.8
APP0000138,CUST001208,2025-09-23,Consumer Durable Loan,39000,18,Partner,Rejected,Recent delinquency,0,0.0,343.8
APP0000139,CUST001101,2025-07-02,Personal Loan,57000,24,App,Approved,,55000,16.15,159.8
APP0000140,CUST000933,2025-12-01,Consumer Durable Loan,108000,9,Referral,Rejected,Affordability policy,0,0.0,258.9
APP0000141,CUST001736,2026-01-24,Two Wheeler Loan,108000,18,App,Rejected,Low bureau score,0,0.0,473.5
APP0000142,CUST002134,2025-12-14,Personal Loan,181000,12,App,Rejected,Policy score cutoff,0,0.0,419.3
APP0000143,CUST001723,2026-02-12,Merchant Loan,109000,12,Partner,Rejected,Affordability policy,0,0.0,228.5
APP0000144,CUST001834,2026-05-20,Two Wheeler Loan,58000,18,Referral,Approved,,56000,17.49,218.8
APP0000145,CUST001255,2025-07-17,Personal Loan,85000,12,App,Rejected,Affordability policy,0,0.0,326.9
APP0000146,CUST000912,2025-12-11,Merchant Loan,347000,18,App,Rejected,Policy score cutoff,0,0.0,358.1
APP0000147,CUST000851,2025-07-04,Personal Loan,59000,12,Referral,Rejected,Policy score cutoff,0,0.0,359.6
APP0000148,CUST000576,2025-07-19,Personal Loan,174000,6,App,Rejected,Affordability policy,0,0.0,306.8
APP0000149,CUST001949,2025-11-14,Two Wheeler Loan,75000,9,Partner,Rejected,Policy score cutoff,0,0.0,395.7
APP0000150,CUST002449,2025-11-14,Personal Loan,175000,6,Referral,Rejected,Policy score cutoff,0,0.0,398.1
APP0000151,CUST000289,2026-06-03,Merchant Loan,204000,6,Referral,Rejected,Policy score cutoff,0,0.0,389.4
APP0000152,CUST000162,2026-01-02,Consumer Durable Loan,17000,12,App,Rejected,Policy score cutoff,0,0.0,353.6
APP0000153,CUST000046,2025-07-24,Personal Loan,34000,12,Referral,Approved,,29000,18.38,222.5
APP0000154,CUST001961,2026-04-24,Merchant Loan,246000,9,App,Approved,,227000,18.42,246.2
APP0000155,CUST001653,2025-08-26,Merchant Loan,58000,6,App,Rejected,Policy score cutoff,0,0.0,412.2
APP0000156,CUST000476,2026-01-09,Personal Loan,51000,6,App,Approved,,47000,20.05,260.5
APP0000157,CUST002447,2026-02-18,Personal Loan,124000,18,App,Rejected,Affordability policy,0,0.0,317.5
APP0000158,CUST002094,2025-08-04,Consumer Durable Loan,67000,9,App,Approved,,55000,19.88,257.3
APP0000159,CUST000874,2025-08-23,Personal Loan,137000,6,App,Rejected,Affordability policy,0,0.0,265.6
APP0000160,CUST000291,2025-08-01,Two Wheeler Loan,79000,6,Branch,Rejected,Affordability policy,0,0.0,229.7
APP0000161,CUST002232,2025-12-01,Personal Loan,145000,12,Partner,Rejected,Affordability policy,0,0.0,312.4
APP0000162,CUST002279,2026-05-13,Consumer Durable Loan,63000,18,App,Approved,,61000,17.67,265.7
APP0000163,CUST000915,2025-07-18,Personal Loan,78000,24,App,Rejected,Low bureau score,0,0.0,422.8
APP0000164,CUST000266,2026-03-01,Personal Loan,140000,18,Branch,Approved,,135000,15.14,189.2
APP0000165,CUST001994,2026-05-21,Consumer Durable Loan,74000,18,App,Approved,,72000,19.89,213.9
APP0000166,CUST000270,2025-09-14,Merchant Loan,276000,24,Branch,Approved,,268000,17.65,209.2
APP0000167,CUST002050,2025-11-01,Merchant Loan,63000,36,Referral,Approved,,48000,17.57,207.1
APP0000168,CUST001312,2025-09-02,Personal Loan,145000,6,Referral,Rejected,Affordability policy,0,0.0,290.4
APP0000169,CUST000911,2026-03-23,Two Wheeler Loan,100000,18,Partner,Rejected,Affordability policy,0,0.0,298.8
APP0000170,CUST002257,2026-04-14,Two Wheeler Loan,70000,6,Branch,Approved,,53000,21.9,336.0
APP0000171,CUST000561,2026-05-18,Two Wheeler Loan,105000,18,App,Approved,,93000,19.89,336.7
APP0000172,CUST001007,2025-07-13,Two Wheeler Loan,90000,12,App,Approved,,77000,16.7,154.8
APP0000173,CUST001186,2025-08-22,Personal Loan,94000,12,App,Approved,,80000,20.54,248.8
APP0000174,CUST002006,2026-05-14,Consumer Durable Loan,68000,18,Partner,Approved,,63000,16.58,235.1
APP0000175,CUST002304,2025-08-10,Two Wheeler Loan,45000,18,Partner,Approved,,42000,14.11,131.5
APP0000176,CUST001851,2026-04-11,Personal Loan,32000,18,Partner,Rejected,Low bureau score,0,0.0,504.2
APP0000177,CUST002047,2025-08-20,Merchant Loan,193000,18,Partner,Approved,,169000,19.43,294.6
APP0000178,CUST001461,2026-03-15,Personal Loan,252000,12,Partner,Rejected,Affordability policy,0,0.0,323.4
APP0000179,CUST000157,2025-10-04,Personal Loan,140000,18,Partner,Approved,,118000,20.05,258.5
APP0000180,CUST002477,2026-02-11,Personal Loan,152000,36,App,Approved,,116000,17.58,203.6
APP0000181,CUST001791,2025-10-18,Consumer Durable Loan,81000,12,App,Approved,,71000,17.37,248.0
APP0000182,CUST001373,2026-01-08,Personal Loan,89000,24,Referral,Rejected,Affordability policy,0,0.0,310.8
APP0000183,CUST002192,2025-08-24,Consumer Durable Loan,73000,12,Partner,Approved,,72000,18.65,211.5
APP0000184,CUST001665,2026-03-12,Two Wheeler Loan,32000,12,App,Rejected,Low bureau score,0,0.0,560.0
APP0000185,CUST001256,2025-10-08,Personal Loan,67000,6,Referral,Rejected,Affordability policy,0,0.0,301.4
APP0000186,CUST002489,2026-01-23,Personal Loan,167000,12,App,Rejected,Policy score cutoff,0,0.0,344.6
APP0000187,CUST000995,2026-03-03,Two Wheeler Loan,63000,24,Partner,Rejected,Policy score cutoff,0,0.0,396.5
APP0000188,CUST000177,2025-09-11,Two Wheeler Loan,63000,12,Referral,Rejected,Affordability policy,0,0.0,299.0
APP0000189,CUST001452,2026-03-22,Two Wheeler Loan,85000,12,App,Rejected,Recent delinquency,0,0.0,508.5
APP0000190,CUST000918,2026-06-10,Consumer Durable Loan,91000,12,App,Approved,,70000,17.03,149.9
APP0000191,CUST002193,2025-11-02,Consumer Durable Loan,86000,12,Partner,Rejected,Affordability policy,0,0.0,285.8
APP0000192,CUST002026,2025-10-06,Merchant Loan,167000,6,Partner,Rejected,Affordability policy,0,0.0,269.2
APP0000193,CUST000012,2025-10-26,Personal Loan,158000,18,Partner,Rejected,Affordability policy,0,0.0,255.4
APP0000194,CUST000809,2026-05-21,Two Wheeler Loan,55000,24,Partner,Approved,,54000,21.14,394.3
APP0000195,CUST001573,2026-03-20,Consumer Durable Loan,17000,9,Referral,Rejected,Low bureau score,0,0.0,539.9
APP0000196,CUST000070,2025-12-27,Consumer Durable Loan,100000,24,Branch,Rejected,Low bureau score,0,0.0,497.1
APP0000197,CUST001949,2026-01-07,Two Wheeler Loan,77000,18,Partner,Rejected,Policy score cutoff,0,0.0,375.7
APP0000198,CUST002098,2026-05-03,Personal Loan,81000,12,App,Approved,,79000,13.28,108.2
APP0000199,CUST000367,2025-10-15,Personal Loan,144000,24,App,Approved,,122000,22.63,399.8
APP0000200,CUST002485,2025-12-17,Consumer Durable Loan,31000,9,Partner,Rejected,Policy score cutoff,0,0.0,337.2
APP0000201,CUST002033,2025-12-17,Consumer Durable Loan,40000,6,App,Rejected,Affordability policy,0,0.0,286.3
APP0000202,CUST000648,2025-07-19,Personal Loan,179000,6,App,Approved,,158000,20.18,312.5
APP0000203,CUST002141,2025-12-27,Personal Loan,91000,18,App,Rejected,Affordability policy,0,0.0,296.6
APP0000204,CUST001520,2026-02-22,Two Wheeler Loan,47000,36,App,Approved,,38000,17.51,218.8
APP0000205,CUST001851,2026-04-10,Personal Loan,158000,24,App,Rejected,Low bureau score,0,0.0,524.3
APP0000206,CUST000560,2025-10-20,Personal Loan,115000,24,Referral,Approved,,111000,20.29,308.8
APP0000207,CUST001663,2026-02-01,Personal Loan,78000,24,App,Rejected,Policy score cutoff,0,0.0,369.8
APP0000208,CUST000959,2025-10-14,Two Wheeler Loan,74000,12,App,Rejected,Affordability policy,0,0.0,306.0
APP0000209,CUST000462,2026-02-06,Two Wheeler Loan,92000,24,App,Approved,,75000,16.71,159.1
APP0000210,CUST001130,2025-08-27,Merchant Loan,171000,18,App,Rejected,Affordability policy,0,0.0,207.1
APP0000211,CUST001102,2025-12-07,Merchant Loan,249000,24,Partner,Approved,,190000,16.23,238.5
APP0000212,CUST001092,2026-03-16,Consumer Durable Loan,54000,6,App,Rejected,Low bureau score,0,0.0,504.3
APP0000213,CUST001928,2026-02-11,Consumer Durable Loan,77000,36,App,Rejected,Affordability policy,0,0.0,256.2
APP0000214,CUST001441,2026-02-05,Personal Loan,132000,9,Branch,Rejected,Affordability policy,0,0.0,277.4
APP0000215,CUST000332,2026-03-13,Two Wheeler Loan,79000,6,App,Rejected,Low bureau score,0,0.0,492.1
APP0000216,CUST000231,2025-11-01,Consumer Durable Loan,63000,12,App,Approved,,58000,20.37,294.6
APP0000217,CUST000608,2025-07-19,Personal Loan,196000,6,Partner,Approved,,165000,19.16,306.4
APP0000218,CUST000764,2025-11-11,Personal Loan,112000,18,Partner,Approved,,104000,16.78,204.8
APP0000219,CUST002127,2026-06-06,Two Wheeler Loan,31000,18,App,Rejected,Affordability policy,0,0.0,258.7
APP0000220,CUST002476,2026-06-17,Personal Loan,144000,36,Partner,Rejected,Policy score cutoff,0,0.0,406.9
APP0000221,CUST001613,2026-02-12,Personal Loan,149000,6,App,Rejected,High recent enquiries,0,0.0,436.2
APP0000222,CUST001659,2026-05-02,Two Wheeler Loan,76000,18,App,Rejected,Policy score cutoff,0,0.0,346.2
APP0000223,CUST002017,2026-04-06,Personal Loan,118000,12,App,Rejected,Affordability policy,0,0.0,324.2
APP0000224,CUST002429,2025-11-10,Personal Loan,163000,9,Partner,Approved,,134000,18.29,224.1
APP0000225,CUST000521,2026-03-11,Personal Loan,96000,18,Partner,Rejected,Affordability policy,0,0.0,200.4
APP0000226,CUST001717,2026-02-05,Personal Loan,183000,9,Branch,Rejected,Low bureau score,0,0.0,506.6
APP0000227,CUST001631,2025-12-12,Consumer Durable Loan,35000,12,Branch,Approved,,32000,15.04,194.7
APP0000228,CUST001744,2025-09-08,Consumer Durable Loan,18000,6,App,Rejected,Affordability policy,0,0.0,259.1
APP0000229,CUST002455,2025-07-18,Consumer Durable Loan,116000,12,Partner,Approved,,100000,15.12,112.8
APP0000230,CUST000185,2025-09-20,Consumer Durable Loan,84000,18,Partner,Rejected,Policy score cutoff,0,0.0,332.2
APP0000231,CUST002230,2025-09-23,Merchant Loan,149000,24,App,Approved,,130000,22.96,324.8
APP0000232,CUST001571,2025-12-11,Personal Loan,10000,12,Referral,Approved,,10000,19.04,286.5
APP0000233,CUST001805,2025-12-01,Merchant Loan,170000,12,Referral,Approved,,129000,17.33,249.7
APP0000234,CUST000261,2026-03-15,Merchant Loan,235000,9,App,Rejected,Affordability policy,0,0.0,273.3
APP0000235,CUST000045,2026-03-26,Consumer Durable Loan,87000,12,App,Approved,,74000,16.3,213.1
APP0000236,CUST001336,2026-06-15,Personal Loan,96000,9,Branch,Rejected,Policy score cutoff,0,0.0,362.9
APP0000237,CUST001301,2025-11-27,Personal Loan,136000,24,Branch,Approved,,128000,20.92,305.8
APP0000238,CUST000812,2025-12-22,Two Wheeler Loan,75000,24,App,Approved,,67000,15.12,159.6
APP0000239,CUST002482,2025-11-23,Merchant Loan,193000,18,App,Approved,,155000,23.22,507.3
APP0000240,CUST002323,2025-11-21,Two Wheeler Loan,73000,6,Partner,Rejected,Affordability policy,0,0.0,321.0
APP0000241,CUST002233,2025-12-20,Personal Loan,57000,12,Partner,Rejected,Low bureau score,0,0.0,393.6
APP0000242,CUST001971,2026-04-21,Personal Loan,119000,12,App,Approved,,112000,18.84,260.5
APP0000243,CUST002170,2026-05-20,Personal Loan,189000,12,App,Rejected,Affordability policy,0,0.0,227.7
APP0000244,CUST000019,2025-12-02,Personal Loan,146000,24,App,Approved,,116000,22.3,419.4
APP0000245,CUST000248,2026-04-14,Merchant Loan,259000,24,App,Rejected,Policy score cutoff,0,0.0,373.0
APP0000246,CUST000006,2025-11-15,Personal Loan,114000,9,Partner,Approved,,100000,18.78,233.6
APP0000247,CUST001670,2026-04-23,Consumer Durable Loan,63000,12,Branch,Rejected,Policy score cutoff,0,0.0,425.8
APP0000248,CUST001863,2026-06-21,Merchant Loan,153000,12,App,Approved,,136000,16.77,250.1
APP0000249,CUST001425,2025-11-09,Consumer Durable Loan,86000,24,App,Rejected,Policy score cutoff,0,0.0,412.7
APP0000250,CUST000939,2026-03-03,Personal Loan,53000,36,Partner,Rejected,Affordability policy,0,0.0,312.5
