loan_id,app_id,customer_id,disbursed_date,principal,tenure_months,interest_rate,risk_score
LOAN0000056,APP0000121,CUST001357,2026-04-13,185000,24,12.95,117.2
LOAN0000057,APP0000122,CUST001642,2026-05-24,164000,6,17.03,187.7
LOAN0000058,APP0000125,CUST000183,2026-06-15,63000,6,21.1,300.8
LOAN0000059,APP0000127,CUST002470,2026-03-08,144000,12,18.76,281.5
LOAN0000060,APP0000128,CUST001686,2026-06-10,117000,12,14.44,71.6
LOAN0000061,APP0000131,CUST002274,2025-12-07,135000,24,15.72,178.6
LOAN0000062,APP0000133,CUST000086,2025-12-26,83000,12,17.22,246.0
LOAN0000063,APP0000134,CUST001695,2026-01-22,142000,12,18.01,253.3
LOAN0000064,APP0000139,CUST001101,2025-07-03,55000,24,16.15,159.8
LOAN0000065,APP0000144,CUST001834,2026-05-21,56000,18,17.49,218.8
LOAN0000066,APP0000153,CUST000046,2025-07-30,29000,12,18.38,222.5
LOAN0000067,APP0000154,CUST001961,2026-04-29,227000,9,18.42,246.2
LOAN0000068,APP0000156,CUST000476,2026-01-12,47000,6,20.05,260.5
LOAN0000069,APP0000158,CUST002094,2025-08-10,55000,9,19.88,257.3
LOAN0000070,APP0000162,CUST002279,2026-05-15,61000,18,17.67,265.7
LOAN0000071,APP0000164,CUST000266,2026-03-05,135000,18,15.14,189.2
LOAN0000072,APP0000165,CUST001994,2026-05-22,72000,18,19.89,213.9
LOAN0000073,APP0000166,CUST000270,2025-09-19,268000,24,17.65,209.2
LOAN0000074,APP0000167,CUST002050,2025-11-04,48000,36,17.57,207.1
LOAN0000075,APP0000170,CUST002257,2026-04-18,53000,6,21.9,336.0
LOAN0000076,APP0000171,CUST000561,2026-05-19,93000,18,19.89,336.7
LOAN0000077,APP0000172,CUST001007,2025-07-17,77000,12,16.7,154.8
LOAN0000078,APP0000173,CUST001186,2025-08-28,80000,12,20.54,248.8
LOAN0000079,APP0000174,CUST002006,2026-05-19,63000,18,16.58,235.1
LOAN0000080,APP0000175,CUST002304,2025-08-15,42000,18,14.11,131.5
LOAN0000081,APP0000177,CUST002047,2025-08-22,169000,18,19.43,294.6
LOAN0000082,APP0000179,CUST000157,2025-10-07,118000,18,20.05,258.5
LOAN0000083,APP0000180,CUST002477,2026-02-16,116000,36,17.58,203.6
LOAN0000084,APP0000181,CUST001791,2025-10-23,71000,12,17.37,248.0
LOAN0000085,APP0000183,CUST002192,2025-08-30,72000,12,18.65,211.5
LOAN0000086,APP0000190,CUST000918,2026-06-15,70000,12,17.03,149.9
LOAN0000087,APP0000194,CUST000809,2026-05-27,54000,24,21.14,394.3
LOAN0000088,APP0000198,CUST002098,2026-05-06,79000,12,13.28,108.2
LOAN0000089,APP0000199,CUST000367,2025-10-16,122000,24,22.63,399.8
LOAN0000090,APP0000202,CUST000648,2025-07-21,158000,6,20.18,312.5
LOAN0000091,APP0000204,CUST001520,2026-02-23,38000,36,17.51,218.8
LOAN0000092,APP0000206,CUST000560,2025-10-21,111000,24,20.29,308.8
LOAN0000093,APP0000209,CUST000462,2026-02-11,75000,24,16.71,159.1
LOAN0000094,APP0000211,CUST001102,2025-12-13,190000,24,16.23,238.5
LOAN0000095,APP0000216,CUST000231,2025-11-04,58000,12,20.37,294.6
LOAN0000096,APP0000217,CUST000608,2025-07-21,165000,6,19.16,306.4
LOAN0000097,APP0000218,CUST000764,2025-11-12,104000,18,16.78,204.8
LOAN0000098,APP0000224,CUST002429,2025-11-13,134000,9,18.29,224.1
LOAN0000099,APP0000227,CUST001631,2025-12-18,32000,12,15.04,194.7
LOAN0000100,APP0000229,CUST002455,2025-07-24,100000,12,15.12,112.8
LOAN0000101,APP0000231,CUST002230,2025-09-24,130000,24,22.96,324.8
LOAN0000102,APP0000232,CUST001571,2025-12-15,10000,12,19.04,286.5
LOAN0000103,APP0000233,CUST001805,2025-12-06,129000,12,17.33,249.7
LOAN0000104,APP0000235,CUST000045,2026-04-01,74000,12,16.3,213.1
LOAN0000105,APP0000237,CUST001301,2025-12-02,128000,24,20.92,305.8
LOAN0000106,APP0000238,CUST000812,2025-12-27,67000,24,15.12,159.6
LOAN0000107,APP0000239,CUST002482,2025-11-27,155000,18,23.22,507.3
LOAN0000108,APP0000242,CUST001971,2026-04-23,112000,12,18.84,260.5
LOAN0000109,APP0000244,CUST000019,2025-12-03,116000,24,22.3,419.4
LOAN0000110,APP0000246,CUST000006,2025-11-21,100000,9,18.78,233.6
LOAN0000111,APP0000248,CUST001863,2026-06-26,136000,12,16.77,250.1
LOAN0000112,APP0000251,CUST001271,2025-09-04,36000,12,20.28,334.2
LOAN0000113,APP0000252,CUST000943,2025-11-15,65000,24,11.99,54.8
LOAN0000114,APP0000257,CUST000909,2026-01-09,65000,12,16.68,235.9
LOAN0000115,APP0000258,CUST001113,2025-09-14,143000,12,15.98,236.6
LOAN0000116,APP0000259,CUST000092,2026-04-24,104000,12,15.25,111.2
LOAN0000117,APP0000261,CUST002488,2026-03-26,42000,36,15.33,141.6
LOAN0000118,APP0000266,CUST000606,2025-11-30,170000,18,18.73,238.3
LOAN0000119,APP0000268,CUST000696,2026-03-24,111000,9,16.57,188.7
LOAN0000120,APP0000270,CUST001231,2026-02-21,123000,24,17.69,253.3
LOAN0000121,APP0000274,CUST000343,2026-05-20,66000,12,15.9,254.4
LOAN0000122,APP0000279,CUST001892,2025-12-18,157000,24,20.35,287.9
LOAN0000123,APP0000280,CUST001942,2025-11-17,90000,6,20.08,334.0
LOAN0000124,APP0000281,CUST000897,2026-05-05,110000,12,17.74,254.5
LOAN0000125,APP0000282,CUST000213,2025-10-10,94000,12,17.99,276.1
LOAN0000126,APP0000283,CUST000546,2026-03-06,174000,6,17.33,236.0
LOAN0000127,APP0000284,CUST001558,2026-01-27,164000,9,16.71,261.6
LOAN0000128,APP0000286,CUST002316,2025-09-02,77000,9,18.09,262.5
LOAN0000129,APP0000287,CUST002352,2025-12-21,107000,12,21.13,352.3
LOAN0000130,APP0000288,CUST001790,2025-11-15,152000,6,20.59,294.1
LOAN0000131,APP0000293,CUST000435,2026-05-08,75000,12,14.63,180.2
LOAN0000132,APP0000294,CUST002276,2026-04-27,117000,18,19.81,234.3
LOAN0000133,APP0000296,CUST000720,2025-11-21,46000,24,20.32,308.2
LOAN0000134,APP0000297,CUST001995,2026-05-20,123000,18,20.01,318.9
LOAN0000135,APP0000299,CUST002492,2025-11-12,72000,18,17.58,180.1
LOAN0000136,APP0000300,CUST002011,2025-09-08,208000,6,18.32,251.8
LOAN0000137,APP0000303,CUST001177,2026-05-28,164000,9,16.27,163.3
LOAN0000138,APP0000304,CUST001714,2026-04-06,180000,12,17.68,281.8
LOAN0000139,APP0000307,CUST000609,2025-10-24,61000,12,15.31,223.2
LOAN0000140,APP0000309,CUST000338,2026-03-16,92000,12,16.74,104.9
LOAN0000141,APP0000310,CUST001740,2026-04-16,51000,12,19.55,289.4
LOAN0000142,APP0000311,CUST002178,2026-06-02,65000,6,16.01,184.5
LOAN0000143,APP0000313,CUST000806,2025-12-29,201000,12,18.06,216.3
LOAN0000144,APP0000315,CUST000497,2026-02-21,128000,9,22.63,418.6
LOAN0000145,APP0000317,CUST000724,2025-07-13,76000,9,18.84,289.0
LOAN0000146,APP0000319,CUST001787,2026-06-17,79000,12,19.13,333.3
LOAN0000147,APP0000322,CUST001483,2026-03-18,90000,9,19.93,249.1
LOAN0000148,APP0000325,CUST000938,2026-04-23,79000,36,18.58,205.1
LOAN0000149,APP0000326,CUST001718,2026-03-08,60000,18,19.32,322.5
LOAN0000150,APP0000328,CUST001013,2026-01-12,128000,18,17.82,197.6
LOAN0000151,APP0000329,CUST002478,2026-04-08,102000,12,20.06,280.2
LOAN0000152,APP0000332,CUST001066,2025-12-18,48000,12,16.83,240.6
LOAN0000153,APP0000333,CUST000293,2025-12-14,60000,6,17.47,189.6
LOAN0000154,APP0000335,CUST001379,2025-08-30,153000,9,19.36,287.8
LOAN0000155,APP0000338,CUST002108,2026-01-11,99000,12,20.04,286.9
LOAN0000156,APP0000339,CUST001360,2025-07-24,46000,18,20.74,278.2
LOAN0000157,APP0000340,CUST002214,2025-12-31,169000,18,14.79,110.1
LOAN0000158,APP0000341,CUST001111,2026-03-25,43000,6,15.28,160.0
LOAN0000159,APP0000342,CUST002063,2025-08-23,75000,12,16.09,233.8
LOAN0000160,APP0000345,CUST002413,2026-03-11,37000,18,15.32,93.1
LOAN0000161,APP0000347,CUST000344,2025-09-17,45000,18,16.09,173.6
LOAN0000162,APP0000348,CUST001606,2025-09-25,64000,12,20.93,336.2
LOAN0000163,APP0000350,CUST001563,2025-09-20,168000,36,17.92,327.2
LOAN0000164,APP0000353,CUST001834,2025-11-15,61000,24,19.48,216.0
LOAN0000165,APP0000354,CUST001827,2025-12-15,61000,18,22.02,374.3
LOAN0000166,APP0000356,CUST002184,2025-07-27,146000,18,17.05,252.7
LOAN0000167,APP0000358,CUST000625,2026-02-06,79000,12,16.2,142.9
LOAN0000168,APP0000361,CUST001867,2025-07-25,83000,24,20.88,309.4
LOAN0000169,APP0000364,CUST002008,2025-09-29,34000,18,14.74,179.8
LOAN0000170,APP0000365,CUST001557,2025-11-05,74000,9,19.87,294.6
LOAN0000171,APP0000369,CUST001586,2025-08-08,100000,6,13.98,107.8
LOAN0000172,APP0000371,CUST000115,2026-04-06,42000,24,16.9,207.8
LOAN0000173,APP0000374,CUST000085,2026-01-24,54000,18,19.93,229.4
LOAN0000174,APP0000375,CUST001104,2026-02-28,124000,24,18.19,243.0
LOAN0000175,APP0000376,CUST000402,2025-12-15,72000,9,16.86,198.7
LOAN0000176,APP0000377,CUST002049,2025-09-07,90000,6,17.21,237.2
LOAN0000177,APP0000379,CUST001144,2026-06-22,43000,18,19.49,332.8
LOAN0000178,APP0000381,CUST002205,2025-12-03,96000,9,16.45,186.7
LOAN0000179,APP0000383,CUST000854,2025-09-16,16000,12,22.01,280.1
LOAN0000180,APP0000386,CUST002263,2025-08-27,150000,18,15.98,228.1
LOAN0000181,APP0000389,CUST001401,2026-05-11,67000,18,18.62,184.8
LOAN0000182,APP0000392,CUST002455,2026-06-15,72000,12,16.6,158.1
LOAN0000183,APP0000396,CUST000094,2026-03-20,57000,6,19.56,282.9
LOAN0000184,APP0000399,CUST000091,2025-09-26,102000,36,19.94,310.2
LOAN0000185,APP0000400,CUST000146,2026-02-17,268000,12,19.84,263.3
LOAN0000186,APP0000406,CUST000175,2026-03-14,143000,12,18.6,193.3
LOAN0000187,APP0000408,CUST000797,2026-05-15,99000,6,17.23,227.4
LOAN0000188,APP0000409,CUST001709,2026-06-21,102000,12,14.92,135.2
LOAN0000189,APP0000410,CUST002341,2025-12-30,37000,9,17.86,278.0
LOAN0000190,APP0000411,CUST001056,2026-04-18,68000,12,18.08,165.1
LOAN0000191,APP0000412,CUST000635,2026-06-25,146000,12,19.62,257.7
LOAN0000192,APP0000413,CUST000918,2026-03-22,69000,18,17.92,199.4
LOAN0000193,APP0000414,CUST001212,2026-02-10,78000,18,18.34,249.8
LOAN0000194,APP0000415,CUST002304,2025-09-14,64000,12,13.82,101.7
LOAN0000195,APP0000417,CUST000556,2025-08-27,63000,24,18.27,279.6
LOAN0000196,APP0000421,CUST002138,2026-01-10,75000,12,15.75,204.9
LOAN0000197,APP0000422,CUST001015,2026-03-31,188000,12,20.18,282.0
LOAN0000198,APP0000423,CUST000615,2026-06-25,53000,18,18.25,241.3
LOAN0000199,APP0000424,CUST002156,2026-05-22,68000,18,16.87,234.2
LOAN0000200,APP0000425,CUST001401,2026-06-11,61000,9,14.91,188.6
LOAN0000201,APP0000428,CUST000414,2026-03-08,75000,36,17.38,210.0
LOAN0000202,APP0000429,CUST001175,2026-04-05,72000,36,17.19,214.8
LOAN0000203,APP0000430,CUST002081,2026-02-19,96000,12,17.2,222.2
LOAN0000204,APP0000433,CUST001763,2026-06-29,23000,18,19.99,305.1
LOAN0000205,APP0000438,CUST001944,2026-01-23,95000,24,19.84,356.5
LOAN0000206,APP0000440,CUST001994,2026-03-26,32000,9,16.04,158.1
LOAN0000207,APP0000441,CUST001799,2025-11-19,70000,6,17.39,304.0
LOAN0000208,APP0000449,CUST000536,2026-04-05,45000,12,14.55,153.8
LOAN0000209,APP0000450,CUST001838,2026-03-15,102000,18,16.82,163.1
LOAN0000210,APP0000451,CUST001985,2025-10-08,37000,9,18.3,262.7
LOAN0000211,APP0000454,CUST001829,2026-03-26,194000,24,16.07,172.7
LOAN0000212,APP0000456,CUST001072,2026-02-26,96000,24,19.61,239.3
LOAN0000213,APP0000458,CUST001621,2026-04-29,97000,12,14.44,133.1
LOAN0000214,APP0000461,CUST002430,2025-12-25,150000,12,18.16,221.4
LOAN0000215,APP0000462,CUST002340,2026-06-21,197000,6,19.05,200.3
LOAN0000216,APP0000463,CUST001231,2026-01-24,127000,24,17.69,213.5
LOAN0000217,APP0000464,CUST002199,2026-04-30,80000,6,19.1,328.3
LOAN0000218,APP0000466,CUST001726,2025-09-18,106000,12,18.55,269.2
LOAN0000219,APP0000467,CUST000794,2026-01-23,89000,12,16.04,153.0
LOAN0000220,APP0000468,CUST000543,2026-04-02,166000,6,18.34,193.8
LOAN0000221,APP0000469,CUST001131,2026-01-11,104000,12,21.19,339.7
LOAN0000222,APP0000473,CUST000249,2026-03-07,57000,24,18.81,245.1
LOAN0000223,APP0000474,CUST000444,2026-05-11,82000,12,18.23,269.6
LOAN0000224,APP0000477,CUST000403,2025-09-08,59000,12,18.84,223.2
LOAN0000225,APP0000478,CUST001900,2026-05-03,115000,18,14.57,189.0
LOAN0000226,APP0000480,CUST000053,2026-04-05,95000,6,21.69,338.0
LOAN0000227,APP0000481,CUST001541,2026-02-19,52000,12,17.12,155.5
LOAN0000228,APP0000483,CUST000614,2026-06-18,114000,12,19.12,285.2
LOAN0000229,APP0000485,CUST000224,2026-05-12,76000,9,21.71,319.6
LOAN0000230,APP0000486,CUST001595,2026-04-09,115000,6,19.84,268.8
LOAN0000231,APP0000488,CUST001273,2026-03-27,90000,12,14.85,111.2
LOAN0000232,APP0000493,CUST000045,2026-05-22,72000,24,18.55,214.2
LOAN0000233,APP0000495,CUST002043,2025-12-11,136000,18,17.34,216.6
LOAN0000234,APP0000496,CUST000481,2025-08-11,218000,12,15.74,186.3
LOAN0000235,APP0000501,CUST000744,2025-12-25,91000,12,19.09,251.7
LOAN0000236,APP0000502,CUST000391,2025-08-15,112000,24,20.04,340.6
LOAN0000237,APP0000503,CUST002436,2026-02-17,85000,24,16.21,178.3
LOAN0000238,APP0000506,CUST000795,2026-03-12,142000,18,20.32,268.4
LOAN0000239,APP0000511,CUST001686,2025-09-22,53000,12,16.83,116.3
LOAN0000240,APP0000512,CUST000237,2026-04-15,35000,12,19.04,246.6
LOAN0000241,APP0000514,CUST000690,2026-02-14,78000,18,14.99,213.2
LOAN0000242,APP0000520,CUST000407,2025-07-29,56000,36,18.21,257.2
LOAN0000243,APP0000523,CUST002081,2026-04-11,113000,12,16.89,224.7
LOAN0000244,APP0000524,CUST001205,2026-04-03,141000,12,15.57,165.1
LOAN0000245,APP0000525,CUST000372,2026-04-26,50000,12,17.5,255.0
LOAN0000246,APP0000527,CUST000077,2025-11-23,126000,12,19.07,255.6
LOAN0000247,APP0000529,CUST001840,2025-07-20,83000,24,15.53,245.8
LOAN0000248,APP0000530,CUST001815,2026-01-08,87000,12,19.81,290.4
LOAN0000249,APP0000531,CUST002378,2026-01-02,209000,12,21.21,269.8
LOAN0000250,APP0000532,CUST000991,2026-03-01,149000,18,18.34,270.6
LOAN0000251,APP0000538,CUST001868,2026-06-11,39000,6,18.21,235.2
LOAN0000252,APP0000541,CUST000324,2025-12-07,117000,18,16.89,171.8
LOAN0000253,APP0000542,CUST000628,2026-06-09,194000,12,17.89,226.4
LOAN0000254,APP0000544,CUST000625,2026-02-27,37000,12,20.69,197.6
LOAN0000255,APP0000545,CUST000776,2025-08-10,94000,12,16.07,183.6
LOAN0000256,APP0000547,CUST000765,2026-03-17,86000,18,17.86,185.9
LOAN0000257,APP0000550,CUST001054,2026-05-26,69000,12,17.11,234.0
LOAN0000258,APP0000557,CUST000219,2026-01-05,164000,12,18.43,227.4
LOAN0000259,APP0000558,CUST001758,2026-03-25,65000,18,17.32,230.0
LOAN0000260,APP0000559,CUST000150,2026-06-28,95000,12,17.94,264.1
LOAN0000261,APP0000560,CUST001453,2026-05-03,60000,12,18.63,209.5
LOAN0000262,APP0000561,CUST001401,2025-12-09,91000,18,15.84,151.8
LOAN0000263,APP0000562,CUST001483,2025-09-10,70000,24,19.53,314.2
LOAN0000264,APP0000563,CUST002460,2026-05-08,31000,12,15.14,200.6
LOAN0000265,APP0000566,CUST000794,2025-12-04,138000,9,17.8,204.9
LOAN0000266,APP0000568,CUST000006,2026-04-15,96000,12,18.65,236.8
LOAN0000267,APP0000571,CUST001867,2025-07-05,49000,18,18.85,286.7
LOAN0000268,APP0000574,CUST000983,2026-06-21,212000,6,19.08,305.5
LOAN0000269,APP0000581,CUST001213,2026-02-17,133000,12,16.58,243.5
LOAN0000270,APP0000588,CUST000521,2026-04-18,66000,12,16.73,185.4
LOAN0000271,APP0000589,CUST002114,2025-09-21,192000,12,15.35,168.8
LOAN0000272,APP0000594,CUST000065,2025-08-11,84000,18,14.72,125.2
LOAN0000273,APP0000597,CUST002466,2026-06-05,63000,9,16.42,127.1
LOAN0000274,APP0000598,CUST000032,2025-08-20,87000,12,18.78,284.3
LOAN0000275,APP0000601,CUST002314,2026-03-26,134000,12,19.81,374.3
LOAN0000276,APP0000603,CUST002252,2025-10-10,71000,12,19.7,281.9
LOAN0000277,APP0000604,CUST002039,2025-10-01,51000,18,17.8,252.6
LOAN0000278,APP0000606,CUST000483,2025-10-15,68000,12,16.8,242.8
LOAN0000279,APP0000607,CUST000704,2025-12-28,8000,24,15.43,177.0
LOAN0000280,APP0000610,CUST002492,2026-05-07,101000,18,17.04,249.1
LOAN0000281,APP0000611,CUST001703,2026-04-15,46000,12,17.38,236.5
LOAN0000282,APP0000612,CUST001888,2025-12-06,61000,6,18.05,222.2
LOAN0000283,APP0000615,CUST000881,2026-01-04,157000,18,14.85,195.6
LOAN0000284,APP0000619,CUST000389,2025-09-25,240000,18,18.61,260.5
LOAN0000285,APP0000620,CUST001896,2025-09-13,48000,12,15.36,116.6
LOAN0000286,APP0000621,CUST001714,2026-03-08,196000,24,16.9,232.0
LOAN0000287,APP0000622,CUST000907,2026-02-28,42000,18,14.52,71.0
LOAN0000288,APP0000624,CUST000481,2026-06-13,57000,9,17.11,219.7
LOAN0000289,APP0000625,CUST001400,2026-06-28,77000,24,21.93,345.3
LOAN0000290,APP0000627,CUST001467,2025-10-01,60000,6,18.63,245.0
LOAN0000291,APP0000631,CUST001549,2026-05-14,156000,18,16.68,249.5
LOAN0000292,APP0000632,CUST001070,2026-05-20,62000,12,15.48,174.7
LOAN0000293,APP0000634,CUST000785,2026-04-09,56000,9,18.24,274.6
LOAN0000294,APP0000635,CUST000175,2026-04-22,72000,18,16.26,125.0
LOAN0000295,APP0000637,CUST000467,2026-01-18,160000,12,18.7,255.9
LOAN0000296,APP0000638,CUST001296,2025-11-14,67000,9,18.47,285.9
LOAN0000297,APP0000639,CUST001387,2025-10-21,43000,24,21.77,337.0
LOAN0000298,APP0000644,CUST001965,2026-06-05,137000,24,19.54,280.0
LOAN0000299,APP0000645,CUST000602,2025-10-01,70000,18,15.87,190.0
LOAN0000300,APP0000647,CUST000552,2025-11-13,110000,24,17.76,214.4
LOAN0000301,APP0000648,CUST001713,2025-11-21,54000,24,16.53,191.2
LOAN0000302,APP0000649,CUST001659,2025-12-13,13000,12,22.75,316.6
LOAN0000303,APP0000651,CUST001564,2026-02-18,67000,6,20.86,330.2
LOAN0000304,APP0000654,CUST002258,2026-06-17,55000,6,18.2,244.9
LOAN0000305,APP0000655,CUST000697,2025-10-22,10000,12,15.94,160.4
LOAN0000306,APP0000657,CUST000243,2026-03-12,74000,12,19.64,286.4
LOAN0000307,APP0000659,CUST001240,2025-08-25,84000,9,13.63,128.0
LOAN0000308,APP0000660,CUST002350,2025-12-24,115000,12,17.76,248.2
LOAN0000309,APP0000661,CUST001951,2025-08-14,65000,18,18.57,244.5
LOAN0000310,APP0000662,CUST000081,2026-02-28,10000,12,18.7,284.7
LOAN0000311,APP0000663,CUST001094,2025-10-29,62000,12,14.67,181.4
LOAN0000312,APP0000665,CUST000680,2025-08-08,70000,12,18.68,234.1
LOAN0000313,APP0000668,CUST002267,2025-07-29,90000,24,18.14,266.8
LOAN0000314,APP0000671,CUST001664,2025-09-09,11000,18,20.37,238.8
LOAN0000315,APP0000674,CUST001625,2026-05-08,38000,12,19.18,200.8
LOAN0000316,APP0000677,CUST001447,2025-08-22,226000,6,18.77,277.0
LOAN0000317,APP0000678,CUST000851,2026-04-21,34000,6,22.44,323.3
LOAN0000318,APP0000679,CUST000113,2026-05-22,26000,6,17.89,251.8
LOAN0000319,APP0000680,CUST002251,2025-10-26,76000,12,15.01,129.7
LOAN0000320,APP0000682,CUST001027,2025-12-19,91000,6,16.46,223.4
LOAN0000321,APP0000687,CUST000686,2025-08-27,176000,18,12.82,64.1
LOAN0000322,APP0000688,CUST000903,2026-02-14,59000,9,17.14,234.8
LOAN0000323,APP0000689,CUST001530,2025-12-11,69000,18,22.59,395.2
LOAN0000324,APP0000691,CUST001929,2025-08-20,40000,36,18.96,311.5
LOAN0000325,APP0000694,CUST001884,2025-09-07,41000,12,19.86,215.9
LOAN0000326,APP0000698,CUST001202,2026-03-04,173000,6,18.33,275.1
LOAN0000327,APP0000699,CUST002433,2025-08-17,85000,9,13.82,128.7
LOAN0000328,APP0000702,CUST001032,2026-03-16,302000,18,20.01,282.1
LOAN0000329,APP0000706,CUST000484,2025-07-15,110000,18,17.6,250.9
LOAN0000330,APP0000707,CUST002299,2025-10-09,171000,36,20.82,327.8
LOAN0000331,APP0000709,CUST000405,2026-06-22,77000,12,16.33,241.0
LOAN0000332,APP0000711,CUST001769,2026-06-02,38000,18,16.89,223.4
LOAN0000333,APP0000716,CUST002414,2026-02-07,136000,12,16.29,179.1
LOAN0000334,APP0000722,CUST000149,2025-09-22,79000,12,14.69,107.1
LOAN0000335,APP0000723,CUST000983,2026-05-17,27000,24,19.62,274.0
LOAN0000336,APP0000725,CUST001504,2025-12-12,59000,24,18.01,247.5
LOAN0000337,APP0000727,CUST001170,2025-10-22,47000,18,21.35,375.0
LOAN0000338,APP0000733,CUST001393,2026-05-23,87000,18,15.17,173.2
LOAN0000339,APP0000736,CUST001886,2025-11-17,30000,12,18.09,206.0
LOAN0000340,APP0000737,CUST001183,2026-01-06,43000,24,15.82,251.2
LOAN0000341,APP0000739,CUST000698,2025-10-20,24000,24,19.32,274.1
LOAN0000342,APP0000741,CUST001977,2026-03-23,67000,12,17.82,245.3
LOAN0000343,APP0000742,CUST000881,2026-01-12,94000,9,17.76,240.7
LOAN0000344,APP0000743,CUST000138,2025-10-09,85000,24,15.22,152.6
LOAN0000345,APP0000746,CUST000656,2025-10-07,104000,24,18.89,226.9
LOAN0000346,APP0000750,CUST001094,2026-02-19,145000,24,18.69,247.8
LOAN0000347,APP0000751,CUST001505,2026-06-15,140000,24,17.79,243.8
